Numéro ID,CLub,Ville ,Ligues,District 
547781,A.S. LA DELORME,MARSEILLE 15,,Bouche du rhône 
500508,A.S. MAZARGUES,MARSEILLE 09,,Bouche du rhône 
503176,A.S. ROGNAC,ROGNAC,,Bouche du rhône 
528834,A.S.C. DE LA BATARELLE,MARSEILLE 13,,Bouche du rhône 
541714,A.S.C. DE PEYPIN,PEYPIN,,Bouche du rhône 
520686,A.S.STE MARGUERITE,MARSEILLE 09,,Bouche du rhône 
605499,AILES SPORTIVES AIRBUS HELICOPTERS,MARIGNANE,,Bouche du rhône 
513931,AIX UNIVERSITE C.F.,AIX EN PROVENCE,,Bouche du rhône 
564307,AMICALE DES JEUNES DE LA CABUCELLE,MARSEILLE 15,,Bouche du rhône 
503374,ASPTT MARSEILLE,MARSEILLE 08,,Bouche du rhône 
560320,ASSOCIATION EQUIPEMENTS COLLECTIFS LA CASTELLANE,MARSEILLE,,Bouche du rhône 
560561,ASSOCIATION SPORT CULTURE VALLEE DE L'HUVEAUNE,MARSEILLE 11,,Bouche du rhône 
561136,ASSOCIATION SPORTIVE BELLE DE MAI - JOLIETTE,MARSEILLE 03,,Bouche du rhône 
542615,ASSOCIATION SPORTIVE D'AIX-EN-PROVENCE,AIX EN PROVENCE,,Bouche du rhône 
860242,ASSOCIATION SPORTIVE D'ALLEINS,ALLEINS,,Bouche du rhône 
524915,ASSOCIATION SPORTIVE DE PROVENCE,PEYROLLES EN PROVENCE,,Bouche du rhône 
564977,ASSOCIATION SPORTIVE DES OUVRIERS DE L'USINE,MARSEILLE 10,,Bouche du rhône 
564644,ASSOCIATION SPORTIVE DES TALENTS FRANCO-SOUDANAIS,MARSEILLE,,Bouche du rhône 
,,,,Bouche du rhône 
564647,ASSOCIATION SPORTIVE ET CULTURELLE LA ROSE,MARSEILLE,,Bouche du rhône 
560906,ASSOCIATION SPORTIVE FLAMANTS MERLAN,MARSEILLE 13,,Bouche du rhône 
550456,ASSOCIATION SPORTIVE FUTSAL SUD,MARSEILLE 15,,Bouche du rhône 
560686,ASSOCIATION SPORTIVE LA CIOTAT,LA CIOTAT,,Bouche du rhône 
582456,ASSOCIATION SPORTIVE MIRAMAS,MIRAMAS,,Bouche du rhône 
564427,ASSOCIATION TENNIS BALLON SOLIDAIRE,AUBAGNE,,Bouche du rhône 
500116,ATHLETIC CLUB ARLESIEN,ARLES,,Bouche du rhône 
561183,ATHLETIC CLUB ISTRES RASSUEN,ISTRES,,Bouche du rhône 
590233,ATHLETIC SPORT BUSSERINE,MARSEILLE 15,,Bouche du rhône 
521264,AV.S. DES AYGALADES CASTELLAS,MARSEILLE 15,,Bouche du rhône 
503270,AV.S. MEYRARGUAIS,MEYRARGUES,,Bouche du rhône 
517380,AVENIR SIMIANE BOUC BEL AIR,BOUC BEL AIR,,Bouche du rhône 
541775,BERRE SP.C.,BERRE L ETANG,,Bouche du rhône 
510194,BUREL F.C.,MARSEILLE 13,,Bouche du rhône 
509573,C.A. CROIX SAINTE,MARTIGUES,,Bouche du rhône 
500094,C.A. GOMBERTOIS,MARSEILLE 13,,Bouche du rhône 
500055,C.A. MARSEILLE PHENIX VALENTINOIS,MARSEILLE 11,,Bouche du rhône 
503264,C.A. PLAN DE CUQUES M.J.C.,PLAN DE CUQUES,,Bouche du rhône 
524550,C.S. MONTOLIVET BOIS LUZY,MARSEILLE 12,,Bouche du rhône 
590637,CARNOUX F. C.,CARNOUX EN PROVENCE,,Bouche du rhône 
590182,ECOLE DE FOOTBALL DE LA SILVACANE,LA ROQUE D ANTHERON,,Bouche du rhône 
503073,ENT. U.G.A. A.S. ARDZIV MARSEIL.,MARSEILLE 12,,Bouche du rhône 
542769,ENT.S. DU BASSIN MINIER,CADOLIVE,,Bouche du rhône 
500219,ENT.S. SALINS DE GIRAUD,ARLES,,Bouche du rhône 
527120,EOURES CAMOINS TREILLE S.,MARSEILLE 11,,Bouche du rhône 
552240,ESPOIR SPORTIF DE VITROLLES,VITROLLES,,Bouche du rhône 
580658,ET. S. ARLESIENNE,ARLES,,Bouche du rhône 
553155,ET. S. DE GREASQUE,GREASQUE,,Bouche du rhône 
519044,ET.S. CUGES,CUGES LES PINS,,Bouche du rhône 
528835,ET.S. D'ENTRESSEN ISTRES,ISTRES,,Bouche du rhône 
503033,ET.S. DE LA CIOTAT,LA CIOTAT,,Bouche du rhône 
503061,ET.S. FOSSEENNE,FOS SUR MER,,Bouche du rhône 
503051,ET.S. MILLOISE,AIX EN PROVENCE,,Bouche du rhône 
503039,ET.S. PORT ST LOUIS DU RHONE,PORT ST LOUIS DU RHONE,,Bouche du rhône 
747057,F. ASSOCIATION MARSEILLE FEMININ,MARSEILLE 11,,Bouche du rhône 
551201,F. C. AIXOIS,AIX EN PROVENCE,,Bouche du rhône 
563534,F. C. ALGERIEN,MARSEILLE 15,,Bouche du rhône 
590220,F. C. BLANCARDE CHARTREUX,MARSEILLE 04,,Bouche du rhône 
551875,F. C. DE L'ETOILE ET DE L'HUVEAUNE,AURIOL,,Bouche du rhône 
563526,F. C. LOISIRS MALPASSE,MARSEILLE 13,,Bouche du rhône 
563781,F. C. ROUSSET STE VICTOIRE OMNISPORTS,ROUSSET,,Bouche du rhône 
553107,F. C. ST MITRE LES REMPARTS,ST MITRE LES REMPARTS,,Bouche du rhône 
503154,F.C. CHATEAUNEUF LA MEDE,CHATEAUNEUF LES MARTIGUES,,Bouche du rhône 
545844,F.C. ENSUES LA REDONNE 89,ENSUES,,Bouche du rhône 
534689,F.C. FUVEAU PROVENCE,FUVEAU,,Bouche du rhône 
530657,F.C. ISTRES RASSUEN,ISTRES,,Bouche du rhône 
503089,F.C. LAMBESCAIN,LAMBESC,,Bouche du rhône 
503044,F.C. MARTIGUES,MARTIGUES,,Bouche du rhône 
514570,F.C. ROGNES,ROGNES,,Bouche du rhône 
547115,F.C. ROQUEFORT LA BEDOULE,ROQUEFORT LA BEDOULE,,Bouche du rhône 
525769,F.C. ST VICTORET,ST VICTORET,,Bouche du rhône 
548328,F.O. VENTABRENNAIS,VENTABREN,,Bouche du rhône 
581308,FCB LES OLIVES,MARSEILLE 13,,Bouche du rhône 
564965,FOOTBALL CLUB BABA,MARSEILLE,,Bouche du rhône 
565068,FOOTBALL CLUB COTE BLEUE CARRY SAUSSET,CARRY LE ROUET,,Bouche du rhône 
582600,FOOTBALL CLUB DE VERNEGUES,VERNEGUES,,Bouche du rhône 
865084,FOOTBALL CLUB DES FIZIOS,MARSEILLE,,Bouche du rhône 
564714,FOOTBALL CLUB LANCONNAIS,LANCON PROVENCE,,Bouche du rhône 
550560,FOOTBALL CLUB LE THOLONET,LE THOLONET,,Bouche du rhône 
582589,FOOTBALL CLUB MIRAMAS,MIRAMAS,,Bouche du rhône 
564463,FOOTBALL CLUB NUEVE 09,MARSEILLE,,Bouche du rhône 
564624,FOOTBALL CLUB PROVENCAL,ARLES - MAS THIBERT,,Bouche du rhône 
553079,FOOTBALL CLUB SEPTEMES CONSOLAT,SEPTEMES LES VALLONS,,Bouche du rhône 
590568,FUTSAL CLUB PORT DE BOUC,PORT DE BOUC,,Bouche du rhône 
582298,GARDANNE BIVER F. C.,GARDANNE,,Bouche du rhône 
560977,GRAND SAINT BARTHELEMY OMNISPORTS,MARSEILLE 14,,Bouche du rhône 
560175,GROUPEMENT FEMININ MIRAGRANS,MIRAMAS,,Bouche du rhône 
560831,GROUPEMENT FEMININ MIRAGRANS,MIRAMAS,,Bouche du rhône 
560560,GROUPEMENT JEUNES FUVEAU GREASQUE,FUVEAU,,Bouche du rhône 
560798,GROUPEMENT JEUNES LUYNES SPORTS AIX UNIVERSITE,AIX EN PROVENCE,,Bouche du rhône 
501523,ISTRES F. C.,ISTRES,,Bouche du rhône 
522717,J.O. ST GABRIEL,MARSEILLE 14,,Bouche du rhône 
514609,J.S. ARMENIENNE ST ANTOINE,MARSEILLE 15,,Bouche du rhône 
541774,J.S. DES PENNES MIRABEAU,LES PENNES MIRABEAU,,Bouche du rhône 
522238,J.S. ISTREENNE,ISTRES,,Bouche du rhône 
524039,J.S. PUY STE REPARADE,LE PUY STE REPARADE,,Bouche du rhône 
503177,J.S. ST JULIEN,MARSEILLE 12,,Bouche du rhône 
560157,JEUNESSE DE GRIFFEUILLE,ARLES,,Bouche du rhône 
547761,L'ENTENTE SPORTIVE PENNOISE,LA PENNE SUR HUVEAUNE,,Bouche du rhône 
541530,LANCON SIBOURG SP.,LANCON PROVENCE,,Bouche du rhône 
551340,LE FOOTBALL CLUB ROUGUIERE,MARSEILLE 11,,Bouche du rhône 
564942,LE PARC FOOTBALL CLUB,MARSEILLE,,Bouche du rhône 
508558,LUYNES S.,AIX EN PROVENCE,,Bouche du rhône 
565160,MACCABI SPORTS MARSEILLE,MARSEILLE,,Bouche du rhône 
581799,MARIGNANE GIGNAC CÔTE BLEUE FC,MARIGNANE,,Bouche du rhône 
563764,MARSEILLE BEACH TEAM,MARSEILLE 09,,Bouche du rhône 
564448,MARSEILLE FUTSAL CLUB,MARSEILLE,,Bouche du rhône 
540384,MARSEILLE SUD O. ROY D'ESPAGNE,MARSEILLE 08,,Bouche du rhône 
564489,MH&KL PRODUCTION,MARSEILLE,,Bouche du rhône 
549957,MINOTS DE MARSEILLE,MARSEILLE 13,,Bouche du rhône 
560821,NORD OLYMPIQUE,MARSEILLE 14,,Bouche du rhône 
524031,O. CABRIES CALAS,CABRIES,,Bouche du rhône 
